,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-24 19:00:00+00:00,4681.984681,10775.495225,572.3316649999999,13677.5263025,5679.2827425,593.8780325,31.93091,1047.506465,13.038025,319.44646,81.092305,15.416518,750.916175,7501.5795,10975.081409999999,56716.50641649999,274.1005,0.0,60798.37074,56990.60691649999,60798.37074,-3807.763823500005,None,DE_LU,2026-04-23
2026-01-24 20:00:00+00:00,4458.106682,10829.46614,542.94083,13132.2780375,5567.778445,430.65385000000003,32.18108,1028.708385,12.955475,320.15796,80.717811,14.016896,760.115,7329.293,10757.667194,55297.0367855,35.73440000000001,0.0,58330.747505,55332.7711855,58330.747505,-2997.9763194999978,None,DE_LU,2026-04-23
2026-01-24 21:00:00+00:00,4288.364225,10908.018765,525.5174999999999,12407.7239725,5457.402795,424.6246675,32.38159,1036.99769,12.783125,319.21146,80.819374,13.598258999999999,750.876,6696.65075,10511.217696,53466.187868999994,81.391775,0.0,56452.7957175,53547.57964399999,56452.7957175,-2905.216073500007,None,DE_LU,2026-04-23
2026-01-24 22:00:00+00:00,4149.637442,10890.742657499999,553.4850025000001,11773.0970075,5184.23891,424.7096675,32.65719,1027.481865,13.1872,320.12546000000003,81.056363,13.662897000000001,741.3829,6206.03825,10778.328948,52189.83176,0.0,737.407275,53579.8517625,52189.83176,54317.2590375,-2127.427277499999,None,DE_LU,2026-04-23
2026-01-24 23:00:00+00:00,4026.629281,10780.497865,544.17583,11347.919894999999,5253.05767,108.25483249999999,32.59665,1025.08149,12.833275,319.39596,81.55411,13.854156,829.009075,6150.702499999999,10903.476415000001,51429.039004499995,0.0,1654.190525,51467.618552500004,51429.039004499995,53121.8090775,-1692.770073000007,None,DE_LU,2026-04-23
2026-01-25 00:00:00+00:00,4001.016338,10422.628027499999,571.447505,10822.008125,5254.743185,107.445,32.63809,1021.7612149999999,4.8244,318.33146,81.552555,13.914486,837.17515,5762.2877499999995,11253.685255,50505.458541500004,0.0,2959.672075,49875.5382875,50505.458541500004,52835.2103625,-2329.751820999998,None,DE_LU,2026-04-23
2026-01-25 01:00:00+00:00,3984.915783,10371.556985,562.293335,10904.8649,5381.5746375,107.24499999999999,32.624430000000004,1008.65594,4.7608250000000005,317.63246,81.72777500000001,13.297837,820.245525,5284.52925,11154.893240000001,50030.817922500006,0.0,3244.034675,48307.133037499996,50030.817922500006,51551.1677125,-1520.349789999993,None,DE_LU,2026-04-23
2026-01-25 02:00:00+00:00,3998.532293,10239.070907500001,561.226665,10918.730265,5516.6352074999995,107.21,32.59713,999.7821775,4.22675,317.30746,81.793732,12.481126,831.391075,5346.748750000001,10787.184494000001,49754.9180325,0.0,3801.63685,48029.498107499996,49754.9180325,51831.1349575,-2076.2169250000006,None,DE_LU,2026-04-23
2026-01-25 03:00:00+00:00,4010.347356,10191.5468275,559.3808325,10724.9003925,5683.45479,107.2433325,32.37003,990.7316925,4.59955,317.27021,81.740783,12.304356,822.23065,5358.40575,9944.202453,48840.72900549999,0.0,4041.23875,48198.6108925,48840.72900549999,52239.8496425,-3399.1206370000073,None,DE_LU,2026-04-23
2026-01-25 04:00:00+00:00,4039.2714379999998,10133.3639425,510.01917000000003,10862.1044475,5747.4545375,107.24499999999999,32.33489,991.5864300000001,13.510525000000001,317.66071,81.843854,12.260712999999999,821.2529,5346.201,9509.583616,48525.693173499996,0.0,3871.55335,48155.9941225,48525.693173499996,52027.5474725,-3501.854299000006,None,DE_LU,2026-04-23
2026-01-25 05:00:00+00:00,4129.47958,10168.878995,444.9225,10974.1923575,5805.8820525,107.21,32.140100000000004,989.00438,14.066575,318.32321,81.73042,13.226724,828.7978,5380.13375,9501.962884,48789.951328,0.0,3844.1509499999997,48590.789135,48789.951328,52434.940085,-3644.988756999999,None,DE_LU,2026-04-23
2026-01-25 06:00:00+00:00,4258.827441,10690.574279999999,449.949995,11319.63984,5861.1882825,107.21,32.01631,997.617255,21.38465,318.47271,81.752691,17.584605,827.13625,5727.4575,9882.002781,50592.8145905,0.0,2921.4072,50339.2876175,50592.8145905,53260.6948175,-2667.8802270000015,None,DE_LU,2026-04-23
2026-01-25 07:00:00+00:00,4443.89597,11426.51214,462.42416249999997,11781.09579,6042.0171175,107.276665,32.01646,992.4748099999999,34.246525,319.37221,82.172761,478.552608,827.535225,5948.87,10088.363430000001,53066.825874,0.0,783.5369000000001,53638.339802500006,53066.825874,54421.876702500005,-1355.0508285000033,None,DE_LU,2026-04-23
2026-01-25 08:00:00+00:00,4507.534092,11648.2495375,461.1316675,12289.295755,6089.529165,107.21,32.04311,995.95546,33.04965,320.34396000000004,82.679844,2473.632173,834.314,6279.80125,10244.834706,56399.604369999994,0.0,619.2425000000001,57474.63364,56399.604369999994,58093.87614,-1694.2717700000067,None,DE_LU,2026-04-23
2026-01-25 09:00:00+00:00,4403.645683,11612.76413,431.9066675,12167.923875,6076.329145,107.276665,29.80614,981.728435,35.01335,320.46196,82.494176,4826.015475,827.534875,6892.67825,10439.404290999999,59234.98311749999,0.0,940.532275,60341.65363,59234.98311749999,61282.185905,-2047.2027875000058,None,DE_LU,2026-04-23
2026-01-25 10:00:00+00:00,4295.989203,11358.29383,463.074165,11974.631805,6041.5016049999995,107.2433325,29.481,972.1983749999999,47.433125000000004,320.57396,82.310387,6511.11334,839.2850999999999,6958.3495,10711.690546,60713.16927350001,0.0,722.7769000000001,62297.91294,60713.16927350001,63020.68984,-2307.5205664999885,None,DE_LU,2026-04-23
2026-01-25 11:00:00+00:00,4263.609452,11119.073765,464.586665,12468.94012,6082.8297875,107.276665,29.3355,972.3147025000001,6.0558,320.48721,82.273469,6916.879143,844.4564250000001,6902.62875,10801.559385,61382.306839,0.0,45.447800000000015,61760.72825,61382.306839,61806.17605,-423.8692110000047,None,DE_LU,2026-04-23
2026-01-25 12:00:00+00:00,4237.0101030000005,11133.05628,458.41083000000003,12360.8683675,5981.018095,107.276665,29.28275,975.3846125,4.753275,320.68996,82.162408,5862.042279,841.582275,7091.1497500000005,11033.907456,60518.59510600001,0.0,111.144225,60695.718015,60518.59510600001,60806.86224,-288.26713399999426,None,DE_LU,2026-04-23
2026-01-25 13:00:00+00:00,4287.247337,11218.6342525,436.0075025,12283.3754575,6020.1245025,107.21,30.81954,983.3522825,4.8180499999999995,320.63421,81.793256,4042.752395,843.715175,7277.38675,11439.977351,59377.84806149999,138.499775,0.0,60045.5317975,59516.34783649999,60045.5317975,-529.1839610000097,None,DE_LU,2026-04-23
2026-01-25 14:00:00+00:00,4432.787947,11871.3354025,500.4733275,12561.486715,6048.384745,107.21,32.07825,993.322755,14.638225,320.64046,81.80376100000001,2015.744666,831.797,7595.43625,11866.356387,59273.495891000006,51.77565,0.0,60492.3976825,59325.27154100001,60492.3976825,-1167.12614149999,None,DE_LU,2026-04-23
2026-01-25 15:00:00+00:00,4731.600233,12243.8221775,580.625835,13200.522799999999,6218.19538,107.2433325,32.03715,1016.417605,79.764025,320.46071,81.794438,447.23004,834.5256999999999,7707.589,12415.016231,60016.844656999994,762.894725,0.0,61859.90424,60779.73938199999,61859.90424,-1080.164858000011,None,DE_LU,2026-04-23
2026-01-25 16:00:00+00:00,4910.766291,12255.397365,569.2099975,13487.73902,6205.2517575,107.2433325,31.85257,1040.4384875,110.60625,320.46520999999996,81.725584,30.822159,840.0769250000001,7866.709,12869.612570000001,60727.91651900002,2531.537675,0.0,65732.33318,63259.45419400002,65732.33318,-2472.8789859999815,None,DE_LU,2026-04-23
2026-01-25 17:00:00+00:00,4929.594903,12262.8506125,573.6800049999999,13496.013085,6225.24759,107.21,31.86175,1041.864505,69.407,320.68746,81.74170000000001,20.979651,847.31025,7998.89,12573.489296,60580.82780749999,2954.079975,0.0,66601.8568325,63534.90778249999,66601.8568325,-3066.949050000003,None,DE_LU,2026-04-23
2026-01-25 18:00:00+00:00,4886.559805999999,12243.1862625,579.2866725,13461.693005000001,6229.4311225,107.21,31.91563,1024.3729575,79.8543,320.72721,81.725616,15.867801,846.36135,8022.0115,11619.859177,59550.06241,2772.4696750000003,0.0,64982.535425,62322.532085,64982.535425,-2660.003340000003,None,DE_LU,2026-04-23
2026-01-25 19:00:00+00:00,4723.9623010000005,12245.9406275,580.93417,13419.8845375,6226.66708,107.2433325,31.892670000000003,1012.4006300000001,37.884975,320.07021,81.836607,12.503941000000001,843.1469500000001,7999.0105,11029.879324,58673.257855500015,842.185975,0.0,62492.751965,59515.443830500015,62492.751965,-2977.3081344999882,None,DE_LU,2026-04-23
2026-01-25 20:00:00+00:00,4498.234369,12255.7220675,573.978335,13130.4347825,6142.2097825,107.3433325,31.93467,1000.0460875,26.32285,318.77546,81.595671,11.191821000000001,837.209575,7677.48825,10269.931579,56962.418632500005,361.645475,0.0,60463.82394,57324.0641075,60463.82394,-3139.7598325,None,DE_LU,2026-04-23
2026-01-25 21:00:00+00:00,4350.923752,12230.629505,543.0024975,13019.048035,6001.7171149999995,107.276665,31.796770000000002,1002.7764,48.547625,318.41421,81.699108,11.412379999999999,847.595725,7262.41825,9220.786538,55078.044575500004,994.848575,0.0,58878.073755,56072.89315050001,58878.073755,-2805.1806044999903,None,DE_LU,2026-04-23
2026-01-25 22:00:00+00:00,4217.076761,12222.34493,529.83,12776.481875000001,5923.1909,107.343335,31.67016,993.69631,46.231725000000004,314.94121,81.824673,14.914907,847.9658,6976.305,9125.236144,54209.05373,504.634475,0.0,56214.044454999996,54713.688205,56214.044454999996,-1500.356249999997,None,DE_LU,2026-04-23
2026-01-25 23:00:00+00:00,4075.0383229999998,12477.140075,570.0075,12520.1281025,5793.045865,106.0138325,31.63943,995.1027,13.72555,296.84421,81.780864,11.215439,818.7290499999999,6768.27625,9458.618396,54017.30558700002,0.0,31.162274999999998,54337.5737625,54017.30558700002,54368.7360375,-351.4304504999818,None,DE_LU,2026-04-23
2026-01-26 00:00:00+00:00,4023.452913,12422.52407,582.0225,12431.850815,5698.8836725,106.0103325,31.50863,982.7499525000001,5.285575,303.96971,82.07878099999999,10.803239,815.114775,6747.168,9400.221707,53643.6446725,0.0,466.7849,52592.0192975,53643.6446725,53058.8041975,584.8404749999972,None,DE_LU,2026-04-23
2026-01-26 01:00:00+00:00,3989.032446,12600.1476675,578.9225,12472.982195,5705.74906,106.077,31.48147,974.165155,4.6864,301.59496,82.148068,9.882655,801.3017,7208.5779999999995,9981.637486,54848.3867625,0.0,1861.8871,51746.0865375,54848.3867625,53607.9736375,1240.4131249999991,None,DE_LU,2026-04-23
2026-01-26 02:00:00+00:00,3972.026223,12648.48874,606.096665,12300.23433,5825.3142525,106.0103325,31.1545,972.413485,30.81525,312.16021,82.31868399999999,9.687422,789.65075,7761.72825,10391.750735,55839.849829000006,0.0,3540.1396,51939.7563425,55839.849829000006,55479.8959425,359.9538865000068,None,DE_LU,2026-04-23
2026-01-26 03:00:00+00:00,4014.964578,12831.0716875,597.231665,12827.8940525,5708.9294525000005,105.977,30.89321,977.0585075,8.813675,312.31346,82.20549,9.624724,804.471975,7886.4345,10695.784822,56893.668799,0.0,3459.300925,53214.1356925,56893.668799,56673.4366175,220.23218149999593,None,DE_LU,2026-04-23
2026-01-26 04:00:00+00:00,4064.297635,13002.1417275,577.6125000000001,14128.3707975,6311.723942500001,199.25501500000001,30.63744,990.7723100000001,21.302325,312.60721,82.21569,9.641661,810.72195,7513.481250000001,11190.013703,59244.7951565,0.0,1915.94845,57415.6537575,59244.7951565,59331.6022075,-86.80705100000341,None,DE_LU,2026-04-23
2026-01-26 05:00:00+00:00,4265.212726,12892.2487775,596.274165,16966.654755,7012.524240000001,441.966315,30.4296,1028.41389,31.979175,302.25121,80.976784,11.828098,818.6972000000001,6570.06125,12406.921803000001,63456.4399885,0.0,469.59692500000006,65667.3593825,63456.4399885,66136.9563075,-2680.516319000002,None,DE_LU,2026-04-23
