,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Other,Solar,Waste,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-05 02:00:00+00:00,21.29,76.31300425,25.304625,40.589184,0.0,108.04259875,1117.0024275,1388.5418395000002,0.0,224.97796699999998,1218.342285,1388.5418395000002,1443.320252,-54.77841249999983,None,LT,2026-04-23
2026-01-05 03:00:00+00:00,21.29,95.41982175,25.386789999999998,53.56255525,0.0,107.85456525000001,910.572221,1214.0859532499999,0.0,217.70934925,1306.6578475000001,1214.0859532499999,1524.3671967500002,-310.2812435000003,None,LT,2026-04-23
2026-01-05 04:00:00+00:00,21.43619225,132.432746,44.89175425,57.65011575,0.0,107.2419495,888.24115825,1251.893916,0.0,97.1821765,1565.2294725,1251.893916,1662.411649,-410.5177329999999,None,LT,2026-04-23
2026-01-05 05:00:00+00:00,21.304130999999998,344.2095755,26.726817750000002,62.23767925,0.0,107.04696475,854.64469825,1416.1698665,1.93261775,0.0,1785.523565,1418.1024842499999,1785.523565,-367.4210807500001,None,LT,2026-04-23
2026-01-05 06:00:00+00:00,21.389132500000002,274.661767,26.452153000000003,74.15603625,0.6338097500000001,106.64423625,775.1796945,1279.1168292500001,299.89950375,0.0,1940.4361875,1579.016333,1940.4361875,-361.41985449999993,None,LT,2026-04-23
2026-01-05 07:00:00+00:00,21.42,54.89518775,26.7670275,98.21904625,10.78370425,106.29946625,629.7747360000001,948.1591680000001,458.37923950000004,0.0,2011.4780425,1406.5384075000002,2011.4780425,-604.9396349999997,None,LT,2026-04-23
2026-01-05 08:00:00+00:00,21.42,54.65836175,26.96354625,96.410923,32.29248925,106.2383585,486.02011775,824.0037965,235.65326625,0.0,2044.65265,1059.65706275,2044.65265,-984.99558725,None,LT,2026-04-23
2026-01-05 09:00:00+00:00,21.38286625,61.29909525,32.80879925,80.53957175,46.7001245,106.30935825,395.607999,744.64781425,274.29115175,0.0,2061.389135,1018.9389659999999,2061.389135,-1042.450169,None,LT,2026-04-23
2026-01-05 10:00:00+00:00,21.38499925,226.18059624999998,26.7648805,81.2245705,46.5567565,106.65248174999999,355.2663435,864.0306282500001,121.24682975,0.0,2041.205315,985.277458,2041.205315,-1055.927857,None,LT,2026-04-23
2026-01-05 11:00:00+00:00,21.36,411.5741095,26.77366775,78.354839,37.41843775,106.57089,355.31406775,1037.3660117499999,0.68460825,0.0,2052.271385,1038.05062,2052.271385,-1014.220765,None,LT,2026-04-23
2026-01-05 12:00:00+00:00,21.36,490.00849325,26.840123499999997,76.321052,20.55003525,107.559334,316.157875,1058.7969130000001,0.836354,0.0,2024.3207525,1059.6332670000002,2024.3207525,-964.6874854999999,None,LT,2026-04-23
2026-01-05 13:00:00+00:00,21.349866499999997,490.84387425,26.58241425,79.5654235,7.5855145,106.8691385,266.82292875,999.61916025,3.626946,0.0,2011.7857075,1003.24610625,2011.7857075,-1008.5396012499999,None,LT,2026-04-23
2026-01-05 14:00:00+00:00,21.26019925,491.21412375,26.819235250000002,94.1705875,2.3316292499999998,107.23978675000001,238.1057225,981.1412842500001,216.41973625,0.0,2008.96668,1197.5610205,2008.96668,-811.4056595,None,LT,2026-04-23
2026-01-05 15:00:00+00:00,21.239999,487.95513825,48.88766,90.02215375,0.000213,106.63256825,277.51493925,1032.2526715,290.437756,0.0,2005.439765,1322.6904275,2005.439765,-682.7493375000001,None,LT,2026-04-23
2026-01-05 16:00:00+00:00,21.239999,488.694299,49.36713675,84.99671525,0.0,106.8886995,358.57413925000003,1109.76098875,446.38645349999996,0.0,1978.00667,1556.14744225,1978.00667,-421.85922774999995,None,LT,2026-04-23
2026-01-05 17:00:00+00:00,21.239999,488.7180725,48.8674495,83.00731775,0.0,106.6631225,314.84045349999997,1063.33641475,533.23266525,0.0,1945.3105150000001,1596.5690799999998,1945.3105150000001,-348.74143500000037,None,LT,2026-04-23
2026-01-05 18:00:00+00:00,21.21585075,489.709421,26.813724,76.44416375,0.0,106.2989915,234.46602125,954.9481722500002,278.958574,0.0,1889.3853875,1233.9067462500002,1889.3853875,-655.4786412499998,None,LT,2026-04-23
2026-01-05 19:00:00+00:00,21.209999,489.75228625,25.84370275,61.7854455,0.0,106.37207975,210.38685149999998,915.3503647499999,1.728176,0.0,1801.3255025,917.0785407499999,1801.3255025,-884.2469617500002,None,LT,2026-04-23
