,Fossil Gas,Hydro Run-of-river and poundage,Hydro Water Reservoir,Waste,Wind Offshore,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-26 04:00:00+00:00,5.13635425,706.13894325,6062.07206075,14.30562975,0.90030475,206.544192,6995.09748475,416.22890225000003,0.0,5298.005,7411.326387,5298.005,2113.321387,None,NO_2,2026-04-23
2026-01-26 05:00:00+00:00,5.27039025,724.96801075,7635.80863125,14.2717925,0.899999,143.055045,8524.273868749999,460.9269585,0.0,5684.405,8985.200827249999,5684.405,3300.795827249999,None,NO_2,2026-04-23
2026-01-26 06:00:00+00:00,6.32396975,747.58589975,7779.42721775,14.2019735,0.899999,153.94572025,8702.384779999998,468.44721725,0.0,6084.97,9170.83199725,6084.97,3085.861997249999,None,NO_2,2026-04-23
2026-01-26 07:00:00+00:00,6.907720250000001,748.53090825,8050.9056815,14.218385999999999,0.99969425,213.7087205,9035.271110750002,470.458257,0.0,6227.42,9505.729367750002,6227.42,3278.309367750002,None,NO_2,2026-04-23
2026-01-26 08:00:00+00:00,5.02402225,735.4750835,8245.871494750001,14.29120025,1.0,301.52017,9303.18197075,470.1291585,0.0,6222.0325,9773.31112925,6222.0325,3551.2786292499995,None,NO_2,2026-04-23
2026-01-26 09:00:00+00:00,7.1535072500000005,721.8962105,7877.3497234999995,14.3973585,0.600222,412.5488195,9033.945841249999,464.3968465,0.0,6156.2375,9498.342687749999,6156.2375,3342.1051877499985,None,NO_2,2026-04-23
2026-01-26 10:00:00+00:00,7.94538375,725.176564,7713.64122575,14.408544500000001,0.40044425,511.9290805,8973.50124275,451.156297,0.0,6083.615,9424.65753975,6083.615,3341.0425397500003,None,NO_2,2026-04-23
2026-01-26 11:00:00+00:00,7.53861275,716.0710545,7622.94343725,14.48053775,0.4,528.12793325,8889.5615755,424.24662724999996,0.0,6000.6225,9313.80820275,6000.6225,3313.18570275,None,NO_2,2026-04-23
2026-01-26 12:00:00+00:00,5.80159325,709.19718225,7651.1217875,14.50652275,0.2005,433.09701325000003,8813.924599000002,425.62318975,0.0,5918.045,9239.547788750002,5918.045,3321.502788750002,None,NO_2,2026-04-23
2026-01-26 13:00:00+00:00,6.505289250000001,695.245761,7955.98535775,13.44617925,0.29994425,307.89677425,8979.379305750002,423.78299475,0.0,5964.945,9403.162300500002,5964.945,3438.2173005000022,None,NO_2,2026-04-23
2026-01-26 14:00:00+00:00,7.725642000000001,714.993943,7632.85499675,14.47251,0.49938875,250.33458425,8620.881064750001,422.88228749999996,0.0,6038.93,9043.763352250002,6038.93,3004.8333522500016,None,NO_2,2026-04-23
2026-01-26 15:00:00+00:00,7.874388,717.28615775,7528.7756985,14.473078000000001,0.79908325,273.10676125,8542.315166749999,422.96225525,0.0,6153.297500000001,8965.277422,6153.297500000001,2811.9799219999986,None,NO_2,2026-04-23
2026-01-26 16:00:00+00:00,8.067858,727.1200504999999,7606.08560275,14.5560565,0.99938875,325.825509,8682.6544655,433.43746699999997,0.0,6205.1675,9116.0919325,6205.1675,2910.9244325,None,NO_2,2026-04-23
2026-01-26 17:00:00+00:00,7.70858825,727.1574969999999,7625.99409675,14.5783085,1.0,336.353155,8712.791645500001,385.58488324999996,0.0,6180.3875,9098.376528750001,6180.3875,2917.989028750001,None,NO_2,2026-04-23
2026-01-26 18:00:00+00:00,7.918341,725.704834,7709.55384575,14.57757275,1.09977775,389.14116325,8847.9955345,391.796175,0.0,6158.4425,9239.7917095,6158.4425,3081.3492094999992,None,NO_2,2026-04-23
2026-01-26 19:00:00+00:00,7.228594,726.48287225,7865.35999325,14.61299975,1.29955475,431.5506345,9046.5346485,423.30182924999997,0.0,6118.03,9469.83647775,6118.03,3351.8064777499994,None,NO_2,2026-04-23
2026-01-26 20:00:00+00:00,8.496063750000001,719.26090525,7734.824149,14.3836075,1.399777,457.76952374999996,8936.13402625,425.3658215,0.0,6033.9,9361.49984775,6033.9,3327.5998477499998,None,NO_2,2026-04-23
2026-01-26 21:00:00+00:00,7.9684574999999995,717.324576,7786.535154499999,14.361953,1.2006109999999999,470.69672225,8998.08747425,462.101938,0.0,5884.7375,9460.18941225,5884.7375,3575.4519122499996,None,NO_2,2026-04-23
2026-01-26 22:00:00+00:00,7.49588375,696.1263755,7423.60861325,14.54236875,1.2997489999999998,511.10292074999995,8654.175911,463.9721955,0.0,5674.6475,9118.1481065,5674.6475,3443.5006065000007,None,NO_2,2026-04-23
2026-01-26 23:00:00+00:00,7.648707,706.15015175,7352.496789,14.352571000000001,1.299999,620.628661,8702.57687875,446.4987665,0.0,5523.344999999999,9149.07564525,5523.344999999999,3625.7306452500015,None,NO_2,2026-04-23
2026-01-27 00:00:00+00:00,6.95934525,710.3602145,7187.11113675,14.502011,1.299999,780.55514175,8700.787848249998,362.7483555,0.0,5421.3925,9063.536203749998,5421.3925,3642.143703749998,None,NO_2,2026-04-23
