,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-03 05:00:00+00:00,11.577936,1049.0619,293.42775,49.6577,114.200153,121.31866,1763.7624,4.630183,3.094,539.648376,3950.3790580000004,0.0,0.0,4681.08711,3950.3790580000004,4681.08711,-730.708052,None,BG,2026-04-23
2026-01-03 06:00:00+00:00,11.244256,1054.69726,293.377565,49.6875,130.398275,172.34896,1763.8992,290.770584,3.139,545.929807,4315.492407,0.0,0.0,4997.55996,4315.492407,4997.55996,-682.0675529999999,None,BG,2026-04-23
2026-01-03 07:00:00+00:00,11.497232,1055.20712,295.99236,49.6314,155.835345,630.9912,1763.6256,1095.301496,3.441,491.314408,5552.837161,0.0,0.0,5247.74099,5552.837161,5247.74099,305.09617100000014,None,BG,2026-04-23
2026-01-03 08:00:00+00:00,11.705264,1065.63103,297.95459,49.6253,144.720981,588.31925,1764.1728,1693.914324,3.844,493.116386,6113.003925,0.0,0.0,5251.55042,6113.003925,5251.55042,861.4535050000004,None,BG,2026-04-23
2026-01-03 09:00:00+00:00,11.424688,1062.5578,295.924625,49.4788,123.441882,437.79171,1762.8048,1830.738884,3.911,506.413492,6084.4876810000005,0.0,0.0,5181.25749,6084.4876810000005,5181.25749,903.2301910000006,None,BG,2026-04-23
2026-01-03 10:00:00+00:00,11.305888,1057.99044,294.746185,49.274,84.251633,10.55534,1762.9416,1713.746006,3.773,490.221982,5478.806074000001,0.0,0.0,5031.37763,5478.806074000001,5031.37763,447.42844400000104,None,BG,2026-04-23
2026-01-03 11:00:00+00:00,11.11512,1048.68884,295.573855,49.5272,81.632786,8.7062,1762.5312,1359.259904,3.642,527.608204,5148.285308999999,0.0,0.0,4974.88457,5148.285308999999,4974.88457,173.4007389999988,None,BG,2026-04-23
2026-01-03 12:00:00+00:00,10.802288,1086.04294,295.18017,49.378,79.908226,8.64765,1763.6256,869.943344,3.63,465.755954,4632.914172000001,0.0,0.0,4934.71788,4632.914172000001,4934.71788,-301.80370799999946,None,BG,2026-04-23
2026-01-03 13:00:00+00:00,11.387984,1201.28892,294.61275,49.3801,86.526336,10.63952,1765.1304,418.829244,3.626,379.449645,4220.8708990000005,0.0,0.0,5003.67038,4220.8708990000005,5003.67038,-782.7994809999991,None,BG,2026-04-23
2026-01-03 14:00:00+00:00,11.281632,1257.41728,296.593575,49.4359,126.505773,352.72118,1764.8568,107.029431,3.516,286.475418,4255.8329889999995,0.0,0.0,5188.60375,4255.8329889999995,5188.60375,-932.7707610000007,None,BG,2026-04-23
