,Solar,Wind Onshore,Biomass,Hydro Run-of-river and poundage,Geothermal,Storage,Fossil Gas,Waste,Other,bidding_zone,source_download_date
2026-04-17 07:00:00+00:00,37.15179367201426,54.75194964349376,13.623551693404634,8.689616755793226,0.0,0.0,43.88992869875223,1.1046122994652405,6.038547237076649,IT_SICI,2026-04-23
2026-04-17 08:00:00+00:00,47.84786206896552,55.175586206896554,13.530896551724139,7.871862068965517,0.0,0.0,0.0,1.124551724137931,5.949241379310345,IT_SICI,2026-04-23
2026-04-17 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IT_SICI,2026-04-23
2026-04-17 10:00:00+00:00,103.34197362437472,126.70009095043201,25.03115052296498,15.636425648021827,0.0,0.0,0.0,1.9947703501591632,10.295588904047294,IT_SICI,2026-04-23
2026-04-17 11:00:00+00:00,93.8704128440367,107.2637614678899,22.868119266055043,6.901376146788991,0.0,0.0,0.0,1.8715596330275228,9.474770642201834,IT_SICI,2026-04-23
2026-04-17 12:00:00+00:00,81.14052002985817,109.58210997760638,21.882495645683004,3.6753545658123907,0.0,0.0,0.0,1.6963174919134114,9.27320228912665,IT_SICI,2026-04-23
2026-04-17 13:00:00+00:00,89.2963060686016,147.72664907651716,29.48390501319261,9.13693931398417,0.0,0.0,0.46068601583113455,2.3034300791556728,12.592084432717677,IT_SICI,2026-04-23
2026-04-17 14:00:00+00:00,18.737383477981357,22.60792349726776,8.138058502089361,3.0765830922532946,0.0,0.0,5.279813564770171,0.6550144648023144,3.255223400835744,IT_SICI,2026-04-23
2026-04-17 15:00:00+00:00,22.181129147767965,55.186321317736926,17.58910241107663,9.430054905705418,0.0,0.0,59.286345189782764,1.3530078777751253,6.724039150155169,IT_SICI,2026-04-23
2026-04-17 16:00:00+00:00,16.73627096349885,176.05269648142058,45.917461361394274,26.606379480434068,0.0,0.0,365.83771785596844,3.7549325879644853,17.594541269319304,IT_SICI,2026-04-23
