,Solar,Wind Onshore,Wind Offshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Storage,Nuclear,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Other,bidding_zone,source_download_date
2026-02-26 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-02-26 15:00:00+00:00,69.02616744909854,39.457133163773925,8.192605022639222,2.7238293566923915,10.705307774346428,47.53679253465089,0.0,369.34951389763205,0.0,12.062393881222643,0.3066679391378642,3.3145889808062563,0.0,ES,2026-04-23
2026-02-26 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-02-26 17:00:00+00:00,10.14618747384975,6.101148446855477,0.0,6.125577469665709,14.75920128118192,42.58996551773889,16.750166640215838,0.0,0.0,43.99056282552554,0.0,0.0,0.6371903449668884,ES,2026-04-23
2026-02-26 18:00:00+00:00,6.929905068086729,216.66092567211984,37.602036713298084,28.024667976486672,157.41332395843978,344.22634313933145,208.6968425329572,1397.2404927601838,0.0,176.25740099811821,1.0181855624731844,11.067113387423142,1.9127622310817864,ES,2026-04-23
2026-02-26 19:00:00+00:00,0.002503897235724456,404.6787413297391,63.0388148194743,23.25647232568975,144.39960496121182,388.9315047260528,170.39602818846154,2343.06522014949,0.0,122.58065667414408,1.7290465391663978,18.95272942414666,0.7561769651887856,ES,2026-04-23
2026-02-26 20:00:00+00:00,0.0,420.35719666456544,60.64582426566596,15.864772298886091,97.63793886181405,304.57120797833755,50.37506349772149,2362.253134127115,0.0,68.97149812776102,1.7448230846175252,19.15354109351541,0.0,ES,2026-04-23
2026-02-26 21:00:00+00:00,0.0,359.10390690152065,55.340758794829696,13.759272817877111,96.558998942547,260.8094357624653,7.0874652211305955,2079.489849509166,0.0,61.46160076543046,1.5266807186911908,16.662030566342153,0.0,ES,2026-04-23
2026-02-26 22:00:00+00:00,0.0,338.5649674202253,54.85682413921582,12.727114417335239,86.26727308533839,242.65279388239955,0.0,1932.1430136740894,0.0,58.01575674911848,1.4181476455838304,15.479108986693657,0.0,ES,2026-04-23
2026-02-26 23:00:00+00:00,0.0,393.98530564765684,68.75715485167063,14.662473053564055,87.84868941632575,289.6160725258568,0.0,2198.9299562356796,0.0,66.68083389832786,1.635088323846963,17.95942604707096,0.0,ES,2026-04-23
2026-02-27 00:00:00+00:00,0.0,399.83150066904216,76.6149690382261,15.401516342374013,77.83943968108167,292.39831905611885,0.0,2252.839452366547,0.0,71.56225158932286,1.725407011176424,19.012144246111166,0.0,ES,2026-04-23
2026-02-27 01:00:00+00:00,0.0,381.98742616229475,81.15851880372615,15.69751937191572,70.16510341189105,288.54555737129215,0.0,2267.9760767785074,0.0,72.39929335767785,1.7523639787126652,19.243140763982467,0.0,ES,2026-04-23
2026-02-27 02:00:00+00:00,0.0,403.464843044699,87.30260690713008,16.55637459185633,76.61120088795195,307.27270705412843,0.0,2343.8278112239364,0.0,76.96633340792978,1.8494800829252727,20.223642799442235,0.0,ES,2026-04-23
2026-02-27 03:00:00+00:00,0.0,411.5315498464483,84.71061213487002,15.942016285874589,72.1263030755777,298.97441437912136,0.0,2237.4365700406015,0.0,72.83058549317758,1.781169151676854,19.341779592652212,0.0,ES,2026-04-23
2026-02-27 04:00:00+00:00,0.0,481.7744637812908,80.86989730604701,30.279766936067816,106.74117760598529,392.03864409163543,0.0,2190.2741984721747,0.0,118.37452861552019,1.7118335231845163,18.447255467993593,1.063234200100344,ES,2026-04-23
2026-02-27 05:00:00+00:00,0.0,312.4273327378328,49.1466919364033,20.94729943140496,73.34830406867354,265.23859913036284,1.73816149078208,1371.4212818230383,0.0,79.083400766197,1.0570021216877283,11.385039340594968,0.7818871530224039,ES,2026-04-23
2026-02-27 06:00:00+00:00,14.2542981710915,402.0638733903713,70.44139919568029,20.323369584469255,93.17266793265293,301.2628564725318,82.01649852246693,1959.4857063450645,0.0,75.03627770578406,1.4682924058823417,15.695635107719749,0.30412516628577274,ES,2026-04-23
2026-02-27 07:00:00+00:00,69.20899868767765,341.83893128028706,63.044271397987046,16.13273483093507,71.58806914634573,241.79944766467528,74.11506676180517,1742.7599674688147,0.0,53.71527264885739,1.2932668652074906,14.028973247406487,0.0,ES,2026-04-23
2026-02-27 08:00:00+00:00,116.74628464316106,169.00723861103123,35.57305374922756,9.136531138097714,29.993662304102507,128.85235408309063,0.0,956.4064608469362,0.0,30.210136127026086,0.7302431950524195,7.944035302274734,0.0,ES,2026-04-23
2026-02-27 09:00:00+00:00,55.78637433435066,44.89988740750292,10.80427001091863,2.9669685780067114,6.554372998326548,37.002195579403555,0.0,275.81297091135,0.0,9.21352599489627,0.223686276652172,2.410747908592461,0.0,ES,2026-04-23
2026-02-27 10:00:00+00:00,210.15268217149404,138.2908268565973,30.323947218431858,9.521196305519698,17.42341702027842,116.67957032246453,0.0,851.6931285944959,0.0,28.903421175864832,0.7152746278939933,7.671535706959658,0.0,ES,2026-04-23
2026-02-27 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-02-27 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-02-27 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-02-27 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-02-27 15:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-02-27 16:00:00+00:00,28.74320010710173,99.3906746858715,15.954250017149343,7.245074133925115,20.624926194551186,81.9470342531994,5.217876032385371,404.00869480461716,0.0,28.246982551828403,0.32824154187924065,3.709317698322395,0.25872797916920953,ES,2026-04-23
2026-02-27 17:00:00+00:00,25.670865174787693,250.08131851179013,32.97629771593336,22.801873234974423,77.94212068009023,238.64618484869305,68.41232913184011,890.5278750393693,0.0,123.02347795461817,0.6570613028134962,7.339174801396312,1.2214216036938284,ES,2026-04-23
2026-02-27 18:00:00+00:00,10.108507889946766,480.8700237960915,74.6273039074553,34.486099526966385,158.23792936228546,431.9192253262946,203.07033199580647,2043.2833956574245,0.0,168.39247744578893,1.5032129265421532,16.78946400574474,1.3370281596534197,ES,2026-04-23
2026-02-27 19:00:00+00:00,0.0006034857335972578,497.82011928023843,86.95954829716703,24.97181425843905,102.77962051528256,366.38143836590916,128.11250810643446,2393.7340447978772,0.0,81.31658242989612,1.7732771417079354,20.01043463112077,0.14000869019456377,ES,2026-04-23
2026-02-27 20:00:00+00:00,0.0,536.4499048959578,81.21470282015302,24.450157069001893,86.81785568783668,344.02180474760064,32.583954833480384,2452.0339195164433,0.0,73.71418395436375,1.8443110102893434,20.869205464873858,0.0,ES,2026-04-23
2026-02-27 21:00:00+00:00,0.0,336.8412913708021,53.014493555277106,16.537348346981275,60.67736083160338,220.17020634256272,36.6986922852905,1427.833416892098,0.0,57.96043786650638,1.1039128329719197,12.511941913570551,0.17589776233600077,ES,2026-04-23
2026-02-27 22:00:00+00:00,0.0,187.51659897453135,29.21288946431548,8.12968016466079,27.259114657789965,111.082101823684,18.961088602221846,788.5208808153067,0.0,24.81365539368527,0.6164156262993405,6.962574477505196,0.0,ES,2026-04-23
2026-02-27 23:00:00+00:00,0.0,220.18202119509542,32.815329258458576,9.882801361670692,30.922576007657483,123.43949303754687,28.517370304799485,828.8326731445048,0.0,31.154380147654603,0.6770951792022682,7.662327792350884,0.08893257105905171,ES,2026-04-23
2026-02-28 00:00:00+00:00,0.0,80.36324582005788,12.712868316899867,3.4536612571319067,10.69569156273838,44.7743064459204,9.644387989786216,308.1438510139941,0.0,10.765438631258398,0.2633607633954033,3.033188198817446,0.0,ES,2026-04-23
2026-02-28 01:00:00+00:00,0.0,409.6410913947589,24.480931431531417,33.75332988695452,49.42645191508945,269.5024646452423,90.57959389553874,604.7069250109415,0.0,103.33223813751768,0.5312496126143766,6.069254709711609,2.3014693600995857,ES,2026-04-23
2026-02-28 02:00:00+00:00,0.0,537.1891939922107,40.287422316038956,37.38935375454504,58.05487822613716,285.70964231370385,67.03257083702059,1049.4890615230229,0.0,118.04085762679064,0.9289914617383744,10.659127780152652,2.168900168639695,ES,2026-04-23
2026-02-28 03:00:00+00:00,0.0,640.6632710634259,35.143192501296106,51.28750558278474,70.23994062410108,357.9634563632623,106.94678510098947,900.1148560932181,0.0,167.0561466155452,0.8061066659142171,9.222572082242515,3.3811673072205415,ES,2026-04-23
2026-02-28 04:00:00+00:00,0.0,575.7644773141403,26.56652223643069,48.66862265702497,89.64727355474817,340.2587295828119,70.37892529163564,779.3959380376118,0.0,161.51909819810356,0.6921007762744953,7.888378124363233,3.1449342268552987,ES,2026-04-23
2026-02-28 05:00:00+00:00,0.0,591.4424650672477,15.725767454936198,56.52038061946534,137.8606352304716,375.53776050035117,112.15706064560767,550.5025402131122,0.0,197.6326717256013,0.4782377460367693,5.462485435607898,4.054995361562289,ES,2026-04-23
2026-02-28 06:00:00+00:00,0.0,299.94206727671093,0.8213961206341024,34.352905496842375,67.11601205052197,220.10766368088676,82.00712881814667,0.0,0.0,115.15443678309062,0.0,0.0,2.8483897731666454,ES,2026-04-23
2026-02-28 07:00:00+00:00,34.31739113273625,475.85245041049495,1.8028684406935354,52.597638577907915,98.96909195946724,394.8072249253646,219.6354959668159,0.0,0.0,178.37915769606158,0.0,0.0,4.213680890458147,ES,2026-04-23
2026-02-28 08:00:00+00:00,53.56634615384616,109.86488381410258,0.3353394001831502,13.798391712454217,22.489729281135535,86.96834935897438,0.34083676739926994,0.0,0.0,47.6401842948718,0.0,0.0,1.1709392170329673,ES,2026-04-23
2026-02-28 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-02-28 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-02-28 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-02-28 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-02-28 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-02-28 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-02-28 15:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-02-28 16:00:00+00:00,4.921376277941447,3.407465343961196,0.09675662796742363,1.0262419857910274,2.1811042280367423,5.534945416738885,1.2065434933287162,0.0,0.0,3.93204947149542,0.0,0.0,0.11851715473921369,ES,2026-04-23
2026-02-28 17:00:00+00:00,40.71164466776661,78.97261961901904,2.1114766761661916,21.87795110244488,74.24087670616468,186.45441427928606,76.38627268636569,0.0,0.0,82.050796460177,0.0,0.0,2.5439478026098694,ES,2026-04-23
2026-02-28 18:00:00+00:00,2.4797230975874363,144.1726507206695,3.202975667717105,34.89693650875652,114.28682130495429,315.28645967866925,253.5000258304489,0.0,0.0,128.1319419331508,0.0,0.0,4.042465258046184,ES,2026-04-23
2026-02-28 19:00:00+00:00,0.012034015085581667,152.83199158688714,2.936299680881926,34.357113069335654,114.52772156948072,294.8213355816652,271.6077204815782,0.0,0.0,120.74930736872643,0.0,0.0,3.706476646359153,ES,2026-04-23
2026-02-28 20:00:00+00:00,0.01073971180852363,152.58982537550372,2.3842160214922457,31.875464647698134,110.64051105141044,259.535875564782,217.95171144217855,0.0,0.0,101.23252350714372,0.0,0.0,3.25413267798266,ES,2026-04-23
2026-02-28 21:00:00+00:00,0.010238757185257543,145.63608220310329,2.4265854529060378,28.852817748055756,102.71521208250365,250.08164424991546,185.11672990945635,0.0,0.0,99.62310741255588,0.0,0.0,3.112582184318293,ES,2026-04-23
2026-02-28 22:00:00+00:00,0.008469429486742553,132.37718287778608,1.8463356281098766,23.94307715902119,68.15349907981731,200.45445709222275,125.11888180764771,0.0,0.0,66.96777895167337,0.0,0.0,2.4053179742348845,ES,2026-04-23
2026-02-28 23:00:00+00:00,0.011047999769923211,169.77461246441,1.8560639613470997,31.40946334589169,94.7255500273216,256.23625866382906,121.47275747030571,0.0,0.0,89.84233412901555,0.0,0.0,2.9719119381093435,ES,2026-04-23
2026-03-01 00:00:00+00:00,0.0,243.15265071400438,0.9019684350248697,50.87101973540265,142.09610725381796,409.42151202648887,214.68652690461946,0.0,0.0,171.28380581122272,0.0,0.0,4.311409119418877,ES,2026-04-23
2026-03-01 01:00:00+00:00,0.0,187.70571588839752,0.4482610887096775,40.79175907258065,80.45563540582727,299.9445084872529,160.14488895031218,0.0,0.0,116.53342302939647,0.0,0.0,3.3258080775234133,ES,2026-04-23
2026-03-01 02:00:00+00:00,0.0,171.09197216300072,0.20785450574593106,37.34452619901895,56.079145650252194,276.0169266635467,138.08467665054687,0.0,0.0,117.53479451579913,0.0,0.0,3.0901036520895087,ES,2026-04-23
2026-03-01 03:00:00+00:00,0.0,164.0606898738637,0.48664646607004447,40.30041047142556,60.6331081319146,308.1840823409203,155.72686914241422,0.0,0.0,130.95352247903602,0.0,0.0,2.9046710943555776,ES,2026-04-23
2026-03-01 04:00:00+00:00,0.0,157.6438379191365,0.3878474741219145,42.38849685924091,98.07693001857913,340.1099141820755,122.41435901972926,0.0,0.0,149.19199504556312,0.0,0.0,3.08661948155357,ES,2026-04-23
2026-03-01 05:00:00+00:00,0.0,144.53554548196513,0.2874372371946135,42.01122145733903,81.98012570303214,327.9205028121286,123.02313751929458,0.0,0.0,129.3618850132179,0.0,0.0,3.555144775828115,ES,2026-04-23
2026-03-01 06:00:00+00:00,0.014877514092838749,168.11590924907784,0.11902011274270999,42.53481279142598,85.5457060338228,329.22450936042867,108.1595274549377,0.0,0.0,117.74064653072584,0.0,0.0,3.644990952745493,ES,2026-04-23
2026-03-01 07:00:00+00:00,14.143573356839843,103.31880337171505,0.0,25.12252217508677,44.569935540741554,185.67859897526307,24.954567241474304,0.0,0.0,81.48466200209354,0.0,0.0,2.077337336785852,ES,2026-04-23
2026-03-01 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-03-01 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-03-01 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-03-01 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-03-01 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-03-01 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-03-01 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-03-01 15:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-03-01 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-03-01 17:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-03-01 18:00:00+00:00,0.0009546631325895372,0.05763037046169043,1.0787154040559744e-05,0.013791376440855633,0.03501510201565692,0.11077328484250801,0.0863889231338227,0.0,0.0,0.04416260864205159,0.0,0.0,0.0012728841767860497,ES,2026-04-23
2026-03-01 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-03-01 20:00:00+00:00,0.0019509993807396864,25.37859994466184,0.050725983899231844,4.963342424601763,18.821291025995755,43.07221332859006,39.09607659064258,0.0,0.0,16.259628839084545,0.0,0.0,0.4311708631434707,ES,2026-04-23
2026-03-01 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-03-01 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-03-01 23:00:00+00:00,0.0052980885327646495,112.62676602951093,0.8265018111112853,13.573702820943032,21.420171937967478,119.83746452260361,25.12353582236997,0.0,0.0,43.142334922302545,0.0,0.0,1.3192240446583978,ES,2026-04-23
2026-03-02 00:00:00+00:00,0.01036861167002012,247.42618028169014,2.115196780684104,26.782123943661972,40.468691348088534,230.68087243460766,0.0,0.0,0.0,94.06404507042254,0.0,0.0,2.6025215291750503,ES,2026-04-23
2026-03-02 01:00:00+00:00,0.00988930234138716,229.71860408808237,2.343764654908757,25.563846552485813,46.87529309817515,183.5553407584871,0.0,0.0,0.0,91.4463787508071,0.0,0.0,2.5118827947123386,ES,2026-04-23
2026-03-02 02:00:00+00:00,0.0,242.82079704183283,2.7199998211507164,29.035445245291797,50.729102355445065,179.4094190975265,1.194146262944218,0.0,0.0,109.64031799402645,0.0,0.0,2.675772181782412,ES,2026-04-23
2026-03-02 03:00:00+00:00,0.0,256.4710727020602,3.0545414025356576,32.385499207606976,54.72413332012679,196.6069681061807,17.345869651347066,0.0,0.0,117.63051208399366,0.0,0.0,2.95640352614897,ES,2026-04-23
2026-03-02 04:00:00+00:00,0.0,479.93388704450865,5.842796327477205,61.53783873939702,121.59141873431392,512.5169004352384,69.35964672618104,0.0,0.0,226.78531229151446,0.0,0.0,5.607199701369254,ES,2026-04-23
2026-03-02 05:00:00+00:00,0.027771428150070786,580.3673054801793,6.915085609367625,71.51142748643227,164.5179403610193,636.3267332025719,176.04308304329874,0.0,0.0,240.91713920186405,0.0,0.0,6.498514187116563,ES,2026-04-23
2026-03-02 06:00:00+00:00,0.02784799661362223,603.6610225934891,6.961999153405557,71.4022633173274,229.4953400928608,637.217858512904,314.181097794886,0.0,0.0,235.6497473444713,0.0,0.0,6.627823194042091,ES,2026-04-23
