,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Other renewable,Storage,Nuclear,Fossil Gas,Waste,Other,bidding_zone,source_download_date
2026-01-03 16:00:00+00:00,0.0,76.92675644954052,0.0,496.1357558342981,0.16647527177453106,0.020830244774679565,0.0,0.0,0.1001293969483743,0.0,2.1500528026637933,SE_2,2026-04-23
2026-01-03 17:00:00+00:00,0.0,67.11413555242316,0.0,516.8160000747292,0.5832370582132577,0.07129301898681557,0.0,0.0,0.34405053657757817,0.0,2.2212837590699754,SE_2,2026-04-23
2026-01-03 18:00:00+00:00,0.0,63.52750173891044,0.0,551.1447645225117,0.43744736049562355,0.04707728927826615,0.0,0.0,0.2639782577888133,0.0,2.3542308310150935,SE_2,2026-04-23
2026-01-03 19:00:00+00:00,0.0,81.17621791129298,0.0,644.263170425713,0.0,0.0,0.0,0.0,0.0,0.0,2.8856116629939934,SE_2,2026-04-23
2026-01-03 20:00:00+00:00,0.0,84.16261778467175,0.0,678.3107079167628,0.29387003476046186,0.031093301533337333,0.0,0.0,0.1733921259521408,0.0,2.903318836319515,SE_2,2026-04-23
2026-01-03 21:00:00+00:00,0.0,85.95357816891789,0.0,816.6439157097357,0.2513634053104747,0.030378785075642702,0.0,0.0,0.1485737383575458,0.0,3.522190192602697,SE_2,2026-04-23
2026-01-03 22:00:00+00:00,0.0,54.59309688226901,0.0,687.6293119696326,0.0,0.0,0.0,0.0,0.0,0.0,2.9525911480984,SE_2,2026-04-23
2026-01-03 23:00:00+00:00,0.0,15.197806412265503,0.0,213.23673646825247,0.0014431992197606036,0.00021303009529327963,0.0,0.0,0.0009550454557570478,0.0,1.0878458447112163,SE_2,2026-04-23
2026-01-04 00:00:00+00:00,0.0,12.815239600542856,0.0,225.0948568024363,0.0,0.0,0.0,0.0,0.0,0.0,1.1899035970207983,SE_2,2026-04-23
2026-01-04 01:00:00+00:00,0.0,15.098401823694354,0.0,252.15166534462256,0.0,0.0,0.0,0.0,0.0,0.0,1.3249328316830897,SE_2,2026-04-23
2026-01-04 02:00:00+00:00,0.0,17.349790202570663,0.0,352.04091971653384,0.0,0.0,0.0,0.0,0.0,0.0,1.8592900808955286,SE_2,2026-04-23
2026-01-04 03:00:00+00:00,0.0,16.48938513792736,0.0,348.20120399398445,0.0,0.0,0.0,0.0,0.0,0.0,1.8594108680882009,SE_2,2026-04-23
2026-01-04 04:00:00+00:00,0.0,18.98094336118089,0.0,355.7896269406634,0.0,0.0,0.0,0.0,0.0,0.0,1.9044296981556936,SE_2,2026-04-23
2026-01-04 05:00:00+00:00,0.0,19.504317218608143,0.0,368.5733888863554,0.0,0.0,0.0,0.0,0.0,0.0,1.8972938950364135,SE_2,2026-04-23
2026-01-04 06:00:00+00:00,0.0,22.475211666408047,0.0,568.4381176102955,0.005174955194224703,0.0010673099768270505,0.0,0.0,0.003618389067815326,0.0,3.5268100690574697,SE_2,2026-04-23
2026-01-04 07:00:00+00:00,0.0,38.161472026380196,0.0,830.5213818420118,25.592065212028306,4.5733784347842406,0.6672426578006687,0.0,13.743484009410148,1.1405602043084434e-05,3.315964411982616,SE_2,2026-04-23
2026-01-04 08:00:00+00:00,7.719914712604212e-05,43.192471487134384,0.0,968.6233124663349,25.455695601753224,5.5244452707911815,0.0,0.0,15.953089556687933,0.0,4.1259084181513215,SE_2,2026-04-23
2026-01-04 09:00:00+00:00,0.0011918480319252813,73.97261196617026,0.0,920.5723647856178,20.987684143732192,3.7971423648516383,0.0,0.0,13.270940679672506,0.0,4.24806421192355,SE_2,2026-04-23
2026-01-04 10:00:00+00:00,0.002085329876071722,85.12384700773879,0.0,937.5040698111684,17.94154983308382,3.290224616456305,0.0,0.0,11.275891655439365,0.0,4.0373317462371565,SE_2,2026-04-23
2026-01-04 11:00:00+00:00,0.0015741766031340551,77.50156650945877,0.0,790.5399109076759,14.24332901224614,2.6494045234237342,0.0,0.0,8.732012693907699,0.0,2.882202176684567,SE_2,2026-04-23
2026-01-04 12:00:00+00:00,0.0003785783968979409,77.59411718256895,0.0,748.7425606578195,11.860572539298268,2.047173035427746,0.0,0.0,7.357598119458192,0.0,3.4475998870304783,SE_2,2026-04-23
2026-01-04 13:00:00+00:00,0.0,77.48160854762098,0.0,712.8258411423074,11.736351902251977,2.0723233214291095,0.0,0.0,7.2645728073353455,0.0,2.669302279055126,SE_2,2026-04-23
2026-01-04 14:00:00+00:00,0.0,75.06133935085296,0.0,621.464677822315,7.551093883339753,1.2755453336643867,0.0,0.0,4.567767409535819,0.0,3.079576200292222,SE_2,2026-04-23
2026-01-04 15:00:00+00:00,0.0,66.75214926261043,0.0,624.3847407104915,9.29640843311358,1.6260228780654582,0.0,0.0,5.676130661785656,0.0,2.364548053933441,SE_2,2026-04-23
2026-01-04 16:00:00+00:00,0.0,78.09077528567036,0.0,740.9626714749008,12.439916371235464,1.8649050942453702,0.0,0.0,7.5807736649031225,0.0,2.685958109044734,SE_2,2026-04-23
2026-01-04 17:00:00+00:00,0.0,76.30761793359922,0.0,775.0008454363224,13.82085288956442,1.9729203420990047,0.0,0.0,8.38703219173964,0.0,2.8107312066754453,SE_2,2026-04-23
2026-01-04 18:00:00+00:00,0.0,89.6870751049126,0.0,921.6466631243255,16.98975069421092,2.406911486550889,0.0,0.0,10.38183738155331,0.0,3.2627622084466346,SE_2,2026-04-23
2026-01-04 19:00:00+00:00,0.0,129.2873231229186,0.0,1072.607478231172,19.179001287781865,2.6846088778168844,0.0,0.0,11.751781495874173,0.0,3.839806984436445,SE_2,2026-04-23
2026-01-04 20:00:00+00:00,0.0,136.0409275900543,0.0,899.2787157007673,14.483426746189936,2.0983305348014887,0.0,0.0,8.942470366758753,0.0,3.3561290614281187,SE_2,2026-04-23
