,Solar,Wind Onshore,Biomass,Hydro Run-of-river and poundage,Other renewable,Storage,Fossil Gas,Waste,Fossil Coal-derived gas,Fossil Oil shale,Fossil Peat,Other,bidding_zone,source_download_date
2026-02-04 23:00:00+00:00,0.0,248.4921604567654,4.160381338015026,9.878347610477146,0.0,0.0,83.97277849568609,17.74604711761193,0.0,0.0,0.0,12.375284981444414,LV,2026-04-23
2026-02-05 00:00:00+00:00,0.0,125.99447887068871,2.2637205297416627,2.6556739746421507,0.0,0.0,41.92768324347943,9.587106921735904,0.0,0.0,0.0,5.396336459712173,LV,2026-04-23
2026-02-05 01:00:00+00:00,0.25245832676026714,30.105655466161856,41.06234684755745,0.15147499605616027,0.4544249881684808,0.0,2.979008255771152,7.876699794920335,22.809609822790133,134.35832150181417,0.0,0.0,LV,2026-04-23
2026-02-05 02:00:00+00:00,0.8015683781062894,27.135060668680126,44.30964870449849,0.15768558257828644,0.47305674773485934,0.0,3.1011497907063004,8.08138610713718,23.731680178032107,140.20876384252637,0.0,0.0,LV,2026-04-23
2026-02-05 03:00:00+00:00,0.6311186960893264,28.50776578292851,44.742287135524165,0.20142086045404034,0.4834100650896968,0.0,3.128737365719427,8.553672540614913,23.673665132031545,143.8279224215484,0.0,0.0,LV,2026-04-23
2026-02-05 04:00:00+00:00,0.21706797058523136,21.255295679705853,28.982915432540096,0.13892350117454808,0.3125778776427332,0.0,1.9709771729139007,5.643767235216015,15.733086508017568,95.77038862220407,0.0,0.0,LV,2026-04-23
2026-02-05 05:00:00+00:00,0.7015358589680809,19.782101678315456,21.088409829497397,0.09676356675421806,0.21771802519699063,0.0,1.4030717179361618,3.864494947246584,11.212478297645017,77.4834260784401,0.0,0.0,LV,2026-04-23
2026-02-05 06:00:00+00:00,1.211050760614847,21.08109087659372,15.73925606704532,0.07046113516304565,0.1585375541168527,0.0,1.0040711760734005,2.809637764626445,8.182299320808676,60.6185953449577,0.0,0.0,LV,2026-04-23
2026-02-05 07:00:00+00:00,5.4977900454416355,29.68302240130645,18.006523359840955,0.08070150525418916,0.1815783868219256,0.0,1.1499964498721955,3.2482355864811137,9.008305523998864,75.21884674098268,0.0,0.0,LV,2026-04-23
2026-02-05 08:00:00+00:00,18.214435998038258,43.811959293771466,25.118010462645096,0.11282654896190948,0.2538597351642963,0.0,1.9674129475232962,4.661146803988885,12.855174922347562,108.6801732875593,0.0,0.0,LV,2026-04-23
2026-02-05 09:00:00+00:00,33.768629634591555,37.682887597548316,28.011408547409317,0.13047526543189203,0.29356934722175704,0.0,2.3811735941320293,5.104844760022775,14.963882004220116,121.13812924942225,0.0,0.0,LV,2026-04-23
2026-02-05 10:00:00+00:00,33.682132685973095,27.446923895141367,25.66865135190777,0.12005215481745814,0.2701173483392808,0.0,2.1759453060664287,4.7120470765852325,13.881030400768598,110.71809978040078,0.0,0.0,LV,2026-04-23
2026-02-05 11:00:00+00:00,15.00433936022253,11.811451668984702,12.860862308762172,0.059541029207232275,0.1339673157162726,0.0,0.9898696105702366,2.426296940194715,7.513333623087622,56.225338143254525,0.0,0.0,LV,2026-04-23
2026-02-05 12:00:00+00:00,1.5345168265359672,17.55285205532664,0.5371625998649076,0.6222946050143684,0.0,5.219010595407079,10.962156414848513,2.6312264707606228,0.0,0.0,0.0,1.715780432241901,LV,2026-04-23
2026-02-05 13:00:00+00:00,1.4672432349676123,39.50184823795693,1.1149964533466175,1.9049177103650958,0.0,10.759267246604539,23.108819887992748,5.392628038843002,0.0,0.0,0.0,3.30027918992347,LV,2026-04-23
2026-02-05 14:00:00+00:00,0.4901453842507269,89.24455097926919,2.1562232312767318,4.8507605120992805,0.0,20.96509357376076,42.45386245494828,10.46045438844387,0.0,0.0,0.0,6.553909475951182,LV,2026-04-23
2026-02-05 15:00:00+00:00,0.01006951890968335,72.66904792327104,1.674777203146374,3.7838628084370685,0.0,17.709246293449112,29.756406411798853,8.1646449228606,0.0,0.0,0.0,6.281944918127268,LV,2026-04-23
2026-02-05 16:00:00+00:00,3.5708135961372987e-07,29.867709137095186,0.6788752575696535,1.5395835581211794,0.0,6.599924601037306,12.046183782348061,3.319783671730447,0.0,0.0,0.0,1.9979396350168075,LV,2026-04-23
2026-02-05 17:00:00+00:00,0.0,124.28741659465732,2.8734487038355274,6.46929661916311,0.0,27.662005670128835,52.43363633918546,13.965821949437583,0.0,0.0,0.0,7.283374123592197,LV,2026-04-23
2026-02-05 18:00:00+00:00,0.0,41.737644535942536,0.9381018996484517,1.898272617157563,0.0,0.0014137368781754263,16.138810165885243,4.71586592190114,0.0,0.0,0.0,2.5448911225868813,LV,2026-04-23
2026-02-05 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,2026-04-23
2026-02-05 20:00:00+00:00,0.0,35.58203217737283,1.1850938248548246,2.7702375727607573,0.0,0.544623148973571,23.861057210599817,5.813875919420925,0.0,0.0,0.0,4.0180801460172715,LV,2026-04-23
2026-02-05 21:00:00+00:00,0.0,199.19073772669537,6.544596552165906,9.52920791930506,0.0,0.8241268471729768,118.09259965069012,32.311559266851425,0.0,0.0,0.0,20.207172037119175,LV,2026-04-23
2026-02-05 22:00:00+00:00,0.0,195.817255362485,5.586453943330177,7.334552388760725,0.0,0.0,115.37078056137443,30.877379506669275,0.0,0.0,0.0,18.463578237380382,LV,2026-04-23
2026-02-05 23:00:00+00:00,0.0,207.48680894164002,5.764458289384545,14.720281486720204,0.0,0.0,174.70377360791866,33.567337293580806,0.0,0.0,0.0,27.607340380755726,LV,2026-04-23
2026-02-06 00:00:00+00:00,0.0,185.03457428272358,5.411810073281781,9.664993467846736,0.0,0.0,164.20764083132752,33.341021894548284,0.0,0.0,0.0,23.73995945027211,LV,2026-04-23
2026-02-06 01:00:00+00:00,0.0,157.23753307020965,5.148413360057,7.426560285235215,0.0,0.0,155.9295960059956,31.727544989561622,0.0,0.0,0.0,27.105352288940928,LV,2026-04-23
2026-02-06 02:00:00+00:00,0.0,136.5548889330246,4.72060766272438,10.89940626700528,0.0,0.0,142.5765713338166,29.19946432460355,0.0,0.0,0.0,19.849061478825607,LV,2026-04-23
2026-02-06 03:00:00+00:00,0.0,68.89614240633718,2.679624112970099,7.746249031838931,0.0,0.0,80.79714329473009,16.460975480295488,0.0,0.0,0.0,11.194865673828224,LV,2026-04-23
2026-02-06 04:00:00+00:00,0.0,58.67990909675754,2.7705985284699577,6.680563953591676,0.0,4.141578783415799,83.81828604107096,17.064041971612806,0.0,0.0,0.0,15.470021625081296,LV,2026-04-23
2026-02-06 05:00:00+00:00,6.477015373400617e-06,0.10041614670705265,0.005296602675086991,0.011588033457120206,0.0,0.033059158332117235,0.16018471829908032,0.032757489210193544,0.0,0.0,0.0,0.031691374303977386,LV,2026-04-23
2026-02-06 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,2026-04-23
2026-02-06 07:00:00+00:00,0.9380224316324038,5.089330038291286,5.3098769790619995,0.022333867419819135,0.05025120169459305,0.0,0.4243434809765636,0.9296472313499714,1.7532085924558023,36.882986177117566,0.0,0.0,LV,2026-04-23
2026-02-06 08:00:00+00:00,2.4471478768949084,9.104471714370339,10.394294407496163,0.043264492851180704,0.09734510891515659,0.0,0.8220253641724333,1.8062925765367945,3.3502941651633056,72.35986429359973,0.0,0.0,LV,2026-04-23
2026-02-06 09:00:00+00:00,3.843003561191697,10.329418917745159,13.23142534526188,0.0574654738122123,0.12929731607747766,0.0,1.0918440024320335,2.269886215582386,4.2129375488578145,88.88472161903935,0.0,0.0,LV,2026-04-23
2026-02-06 10:00:00+00:00,10.769951571768347,20.049227727311806,26.397079978221623,0.11411869215118779,0.2567670573401725,0.0,2.1682551508725676,4.514820758231366,9.129495372095022,175.5002836920079,0.0,0.0,LV,2026-04-23
2026-02-06 11:00:00+00:00,10.251769977372872,19.598776348695967,22.878544420626415,0.10644277718232704,0.23949624866023583,0.0,2.022412766464214,4.297627128736454,9.107510122662855,154.94742020959868,0.0,0.0,LV,2026-04-23
2026-02-06 12:00:00+00:00,10.95430153565108,29.09674887252383,35.79322943426385,0.15733287663412682,0.2949991436889878,0.0,2.920491522520979,6.273648455785806,13.973126106068388,245.0361220528629,0.0,0.0,LV,2026-04-23
2026-02-06 13:00:00+00:00,4.261044463087249,26.58080117449665,29.039096057046986,0.12486577181208056,0.2497315436241611,0.0,2.31001677852349,5.072671979865773,10.777476929530202,200.65929530201342,0.0,0.0,LV,2026-04-23
2026-02-06 14:00:00+00:00,0.9668176513088423,24.576099038514982,24.866820430167294,0.10817540154504532,0.24339465347635195,0.0,2.0012449285833385,4.340537986994944,9.384216084032682,176.81269382537656,0.0,0.0,LV,2026-04-23
2026-02-06 15:00:00+00:00,0.6403852259498359,59.1555852471161,49.656537728860194,0.21346174198327866,0.480288919462377,0.0,3.9490422266906555,8.60517647370092,18.57117155254524,362.97835088369135,0.0,0.0,LV,2026-04-23
2026-02-06 16:00:00+00:00,1.801668927555892,71.70363003156548,52.402029582865936,0.22346281272011065,0.5027913286202489,0.0,4.134062035322047,9.036277489369473,19.161936190749483,376.40914160123134,0.0,0.0,LV,2026-04-23
2026-02-06 17:00:00+00:00,1.686999233149113,79.25936748023376,54.250343760742524,0.23677182219636675,0.45874540550546056,0.0,4.380278710632784,9.308092260094666,21.3686569532221,388.67574437422326,0.0,0.0,LV,2026-04-23
2026-02-06 18:00:00+00:00,2.139116446721678,78.50242783520511,55.16089249009504,0.25166075843784447,0.48759271947332367,0.0,4.655724031100124,9.98778635050195,22.58655306979654,354.22824629866847,0.0,0.0,LV,2026-04-23
2026-02-06 19:00:00+00:00,2.3750988576449914,62.84876977152901,50.69922561511424,0.24359988283538375,0.44152478763913305,0.0,3.516973308435853,9.987595196250732,21.84786449179848,263.8643480887522,0.0,0.0,LV,2026-04-23
2026-02-06 20:00:00+00:00,0.08049952367145759,2.1220912894006547,2.0223957254690808,0.009907633682640934,0.017338358944621633,0.0,0.14118377997763332,0.40187839125212294,0.8576295406536059,9.297075756948187,0.0,0.0,LV,2026-04-23
2026-02-06 21:00:00+00:00,2.9462372448979592,35.0500637755102,37.048086734693875,0.18061224489795918,0.327359693877551,0.0,2.4721301020408157,7.393813775510203,17.41779336734694,184.7889030612245,0.0,0.0,LV,2026-04-23
2026-02-06 22:00:00+00:00,1.972476323324279,25.863996769693856,26.06995815285222,0.12674546655898983,0.19803979149842157,0.0,1.7110637985463626,5.267858453858014,19.328683650245946,135.26117759342193,0.0,0.0,LV,2026-04-23
2026-02-06 23:00:00+00:00,1.2539314752233415,24.476742396359626,24.276113360323883,0.11464516344899121,0.2006290360357346,0.0,1.5477097065613814,4.700451701408639,17.26126242178874,140.31851473884967,0.0,0.0,LV,2026-04-23
2026-02-07 00:00:00+00:00,0.13637180062864843,15.541140202410972,17.182846879209702,0.08392110807916825,0.14161686988359642,0.0,1.1329349590687714,3.46174570826569,12.378363441677317,101.79105903077614,0.0,0.0,LV,2026-04-23
2026-02-07 01:00:00+00:00,0.3231915338021305,18.598203717886236,19.344482350483883,0.09401935528789253,0.14690524263733204,0.0,1.269261296386549,3.7431455823992206,14.549495230801366,110.7312956903154,0.0,0.0,LV,2026-04-23
2026-02-07 02:00:00+00:00,0.4555406762638098,19.039529628389687,17.895501339136253,0.08282557750251088,0.04141278875125543,0.0,1.1233218948778039,3.318199698694341,12.900083696016067,99.76858470036825,0.0,0.0,LV,2026-04-23
2026-02-07 03:00:00+00:00,0.3061448083894356,13.861388205592961,10.411954621957538,0.04849818746763337,0.021217957017089593,0.0,0.6729123511134129,2.0066125064733304,7.4869076903159,58.834363671672726,0.0,0.0,LV,2026-04-23
2026-02-07 04:00:00+00:00,0.2981415412558381,33.904044499221584,26.297612869745716,0.12231447846393356,0.21405033731188375,0.0,1.697113388687078,5.00724896211728,18.492420212765957,149.6670537104307,0.0,0.0,LV,2026-04-23
2026-02-07 05:00:00+00:00,1.4067693026983703,33.63367452578146,34.28752504675394,0.15850921720545016,0.0,0.0,2.278569997328346,6.350275514293347,23.924984971947637,194.60969142399148,0.0,0.0,LV,2026-04-23
2026-02-07 06:00:00+00:00,3.8515276549759316,39.378187117267586,36.505326325441274,0.16837279366015,0.0,0.0,2.4414055080721755,6.777004944821039,24.540334675966868,207.68784097979506,0.0,0.0,LV,2026-04-23
2026-02-07 07:00:00+00:00,9.111716441875402,48.432185292228645,40.565696852922294,0.19157353885677586,0.0,0.0,2.873603082851638,7.650968208092486,26.952002247912656,237.07225433526014,0.0,0.0,LV,2026-04-23
2026-02-07 08:00:00+00:00,17.688777347918894,27.19140875133405,40.116902347918895,0.19148879402347926,0.0,0.0,2.8723319103521887,7.79120030683031,27.586354389007475,235.41153615261476,0.0,0.0,LV,2026-04-23
2026-02-07 09:00:00+00:00,31.030914887450493,18.606926866969378,40.20072456767462,0.18595304801468457,0.0,0.0,2.789295720220269,7.356767462080959,27.207255337648537,233.5221621099411,0.0,0.0,LV,2026-04-23
2026-02-07 10:00:00+00:00,37.952033289503234,18.03048651422341,40.94918540136623,0.19029537218177742,0.0,0.0,2.854430582726661,7.504773740418847,27.806911260062225,235.5618838395177,0.0,0.0,LV,2026-04-23
2026-02-07 11:00:00+00:00,47.426297113263644,25.770192768773374,48.211973722067704,0.22856046801572838,0.07142514625491513,0.0,3.428407020235926,9.113848662127168,32.01275055145295,280.58654454780856,0.0,0.0,LV,2026-04-23
2026-02-07 12:00:00+00:00,29.7639366827254,37.78965150472377,38.35145154226365,0.18344491021710568,0.21784083088281297,0.0,2.740208346368016,7.2919351811299515,25.418585371957704,224.74294562973162,0.0,0.0,LV,2026-04-23
2026-02-07 13:00:00+00:00,17.710370835952236,54.065826524198634,41.10281898177248,0.19678189817724706,0.29517284726587056,0.0,2.902532998114394,7.957368007542428,26.95912005028284,240.16000785669397,0.0,0.0,LV,2026-04-23
2026-02-07 14:00:00+00:00,3.3848984100314268,56.84360123214787,31.097572264227264,0.15128037586732632,0.22692056380098946,0.0,2.2030204735679395,6.098490152151592,19.023507265316283,184.84570926288933,0.0,0.0,LV,2026-04-23
2026-02-07 15:00:00+00:00,5.598415409990576,71.21682890551368,32.42096047360981,0.15338124410933085,0.23007186616399625,0.0,2.2048553840716307,6.1544224198869,17.648429400329878,189.84763489632428,0.0,0.0,LV,2026-04-23
2026-02-07 16:00:00+00:00,2.1695345744680856,44.78083444148936,16.221373005319148,0.07292553191489362,0.10938829787234045,0.0,1.043746675531915,2.9717154255319156,8.536845079787236,95.46863696808511,0.0,0.0,LV,2026-04-23
2026-02-07 17:00:00+00:00,0.6898501605422761,32.41200754293869,9.677064752051374,0.04380001019316039,0.06570001528974058,0.0,0.6542626522603333,1.7437879058151982,5.231363717445594,56.90716324346364,0.0,0.0,LV,2026-04-23
2026-02-07 18:00:00+00:00,0.22128608855801404,54.61617273222484,15.904937615107261,0.07376202951933802,0.11064304427900702,0.0,1.0557190474955254,2.959701434463438,8.874494176545355,93.90828383180721,0.0,0.0,LV,2026-04-23
2026-02-07 19:00:00+00:00,0.13008991781267804,102.82106965578973,34.573897387907884,0.1601106680771422,0.24016600211571326,0.0,2.2015216860607048,6.474475140369437,20.15393034421027,202.16973919765647,0.0,0.0,LV,2026-04-23
2026-02-07 20:00:00+00:00,0.5525305246789151,30.268900103668727,13.174282238092498,0.06013937683580028,0.0902090652537004,0.0,0.785570609917641,2.4694731613200482,7.746703478661524,75.37719144157117,0.0,0.0,LV,2026-04-23
2026-02-07 21:00:00+00:00,0.0,24.218266451229663,1.0540665923204835,1.2133715490104442,0.0,0.54248561682415,4.0070340505098745,5.217909104918203,0.0,0.0,0.0,3.371866635187177,LV,2026-04-23
2026-02-07 22:00:00+00:00,0.0,58.07166483162088,2.357828460225366,2.7144933836374046,0.0,0.0,9.017555457300562,11.63865252686784,0.0,0.0,0.0,4.8998053403479584,LV,2026-04-23
2026-02-07 23:00:00+00:00,0.0,22.225184680223848,0.7623989180556491,0.8778895810603473,0.0,0.0,2.9489271819855674,3.661223953576212,0.0,0.0,0.0,2.124375685098382,LV,2026-04-23
2026-02-08 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,2026-04-23
2026-02-08 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,2026-04-23
2026-02-08 02:00:00+00:00,0.0,19.65526902893692,0.4944365510771079,0.5692392611687189,0.0,0.0,1.9121105393974542,2.3239638725305802,0.0,0.0,0.0,1.3449807468892188,LV,2026-04-23
2026-02-08 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,2026-04-23
2026-02-08 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,2026-04-23
2026-02-08 05:00:00+00:00,0.3849285897004282,125.77761139984686,2.381602117577265,2.759482264670949,0.0,0.0,9.259537396740814,11.23273273970336,0.0,0.0,0.0,6.004105491760346,LV,2026-04-23
2026-02-08 06:00:00+00:00,7.755429971230965,227.539357422262,4.322940730676677,4.993824945434587,0.0,0.0,16.728041546792443,20.239141168837172,0.0,0.0,0.0,9.621264214766208,LV,2026-04-23
2026-02-08 07:00:00+00:00,32.87313077771883,266.06365483940255,5.525342636596291,6.430583702298358,0.0,2.537105691954284,21.428306628805778,25.908126665199465,0.0,0.0,0.0,15.808749058024478,LV,2026-04-23
2026-02-08 08:00:00+00:00,19.79125601373409,88.27800573857535,1.881813951421715,2.673522035259921,0.0,1.6561666090295128,7.34683981617063,8.89227728984196,0.0,0.0,0.0,6.555118545966813,LV,2026-04-23
2026-02-08 09:00:00+00:00,1.6983334671627763,5.447996458746069,0.13010738027089117,0.1509905321082013,0.0,0.011660639950698994,0.5073646465299748,0.5872891921395209,0.0,0.0,0.0,0.3162576830918657,LV,2026-04-23
2026-02-08 10:00:00+00:00,2.8136117052072005,7.983721363096331,0.2086627872378211,0.24223282173361702,0.0,0.05482271466875079,0.8126491742198987,0.9418306570125413,0.0,0.0,0.0,0.542468776823839,LV,2026-04-23
2026-02-08 11:00:00+00:00,16.33577026750541,45.01262806833647,1.3251782607435139,1.538703010411192,0.0,0.18707509728061011,5.164509044483258,5.993537783754572,0.0,0.0,0.0,3.467598467484988,LV,2026-04-23
2026-02-08 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,2026-04-23
2026-02-08 13:00:00+00:00,3.647482509462094,0.35702871124364416,16.74175172993845,0.07719539702565278,0.0,0.0,1.1579309553847918,3.0878158810261116,10.783232022020874,90.34756279389838,0.0,0.0,LV,2026-04-23
2026-02-08 14:00:00+00:00,0.18793764792295764,0.037215375826328244,2.0549090018770912,0.0099241002203542,0.0,0.0,0.14886150330531298,0.40626785277075,1.3738676242552843,10.981016893821922,0.0,0.0,LV,2026-04-23
2026-02-08 15:00:00+00:00,0.9764282142032779,0.1894562206663076,16.70129452950681,0.0777256289913057,0.0922991844271755,0.0,1.1658844348695852,3.1770350850196203,10.386087173963222,93.50878952835271,0.0,0.0,LV,2026-04-23
