,Solar,Wind Onshore,Wind Offshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Other renewable,Storage,Nuclear,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Fossil Peat,Other,bidding_zone,source_download_date
2026-03-28 05:00:00+00:00,0.32236613081953464,1903.8766493632222,0.0,0.0,2465.197684961247,0.0,0.0,0.0,0.0,0.0,0.043520981981422235,0.0,0.0,0.0,65.95977856272951,SE_3,2026-04-23
2026-03-28 06:00:00+00:00,2.0542412020317866,1736.7788347012656,0.0,0.0,2588.038236789735,0.0,0.0,0.0,0.0,0.0,0.01979097349541387,0.0,0.0,0.0,64.7838963334721,SE_3,2026-04-23
2026-03-28 07:00:00+00:00,4.895526513086917,1650.815737846851,0.0,0.0,2733.2604110443854,0.0,0.0,0.0,0.0,0.0,0.015519286241665094,0.0,0.0,0.0,64.06280530943509,SE_3,2026-04-23
2026-03-28 08:00:00+00:00,9.917130289813445,1641.4576211385136,0.0,0.0,2959.820322231062,0.0,0.0,0.0,0.0,0.0,0.034350616363482196,0.0,0.0,0.0,72.79557572424714,SE_3,2026-04-23
2026-03-28 09:00:00+00:00,66.46693355285933,1371.237164368902,19.8960403852118,9.597165256821372,2772.923607471213,0.0,0.0,0.0,0.0,4.225788202890712,0.720474471830217,0.11973198063485592,2.2868775246014907,0.0,68.22621678503525,SE_3,2026-04-23
2026-03-28 10:00:00+00:00,242.64056561619753,1342.8020136163684,78.25729873273345,38.40427609861879,2438.5900904924606,0.0,0.0,0.0,0.0,15.129234653577647,2.8649999961164565,0.4272596067908108,8.526714837723746,0.0,65.08254634941248,SE_3,2026-04-23
2026-03-28 11:00:00+00:00,197.87948150582667,1241.3383903264778,56.2007177046548,23.675669155898074,2221.3744791257254,0.0,0.0,0.0,0.0,10.554740779541277,1.1365651068445985,0.29810867406062375,4.494398829241633,0.0,66.02244879172889,SE_3,2026-04-23
2026-03-28 12:00:00+00:00,165.13622297325978,1158.22622973233,32.594246644841284,22.75192171914524,2172.7102767769957,0.0,0.0,0.0,0.0,8.71181308926803,1.5391960945718774,0.25133915599994194,4.46721191525637,0.0,64.18654189833178,SE_3,2026-04-23
2026-03-28 13:00:00+00:00,35.03163163834182,1215.545298818338,3.2870226569841687,3.4664251556684116,2978.817220369696,0.0,0.0,0.0,0.0,0.9915919431444329,0.3852829541303832,0.03169178123405614,0.6015067255087494,0.0,75.66732795695486,SE_3,2026-04-23
2026-03-28 14:00:00+00:00,16.491970791190735,1417.432816620985,0.0,0.0,3839.5490270342957,0.0,0.0,0.0,0.0,0.0,0.012255017373796544,0.0,0.0,0.0,82.1889305361544,SE_3,2026-04-23
2026-03-28 15:00:00+00:00,9.516959303021597,1401.775647507313,0.0,0.0,4137.4685012144055,0.0,0.0,0.0,0.0,0.0,0.01477788711649316,0.0,0.0,0.0,89.099114088144,SE_3,2026-04-23
2026-03-28 16:00:00+00:00,2.074590786876693,1608.86669333725,0.0,0.0,4424.734267511888,0.0,0.0,0.0,0.0,0.0,0.017824646378892826,0.0,0.0,0.0,99.75662371760586,SE_3,2026-04-23
2026-03-28 17:00:00+00:00,0.0804987425774294,1994.9586243116423,0.0,0.0,4066.639868367082,0.0,0.0,0.0,0.0,0.0,0.010733165676990584,0.0,0.0,0.0,98.96027541302036,SE_3,2026-04-23
2026-03-28 18:00:00+00:00,0.02368879298547632,2377.038926515786,0.0,0.0,3498.9900945676686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.02229012355978,SE_3,2026-04-23
2026-03-28 19:00:00+00:00,0.0380752856159645,2651.085947244368,0.0,0.0,2862.8597951904067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.89118227960894,SE_3,2026-04-23
