,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Other renewable,Storage,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil,Other,bidding_zone,source_download_date
2026-03-27 22:00:00+00:00,0.0,12.210473975332105,2.3366026298462597,96.09321670038037,73.34699727133268,0.0,0.0,20.893842356126356,266.49713299072044,0.0,1.9276971696231644,0.0,1.6940369066385383,ME,2026-04-23
2026-03-27 23:00:00+00:00,0.0,11.594234513467391,1.3529511246406223,114.67011302211301,40.09155099807155,0.0,0.0,0.25619656019656023,237.93787953831793,0.0,1.1161846778285136,0.0,0.9808895653644513,ME,2026-04-23
2026-03-28 00:00:00+00:00,0.0,10.932097576130225,1.2543574521952214,102.61685620150918,30.912977600814123,0.0,0.0,0.0804336273780423,208.3844592362901,0.0,0.9094091528415356,0.0,0.9094091528415356,ME,2026-04-23
2026-03-28 01:00:00+00:00,0.0,11.889437364849426,1.3514515716899231,101.87930467808495,32.92761552020973,0.0,0.0,0.08516232699119891,222.03044050485255,0.0,0.8316625056553374,0.0,1.004925527666866,ME,2026-04-23
2026-03-28 02:00:00+00:00,0.0,17.201739925753387,1.3469419569726346,92.80029999925742,34.2581218041667,0.0,0.0,0.085603748505573,223.51136995604742,0.0,0.7943503848812974,0.0,1.001572224415549,ME,2026-04-23
2026-03-28 03:00:00+00:00,0.0,16.981085119466535,1.14191201293957,97.75659973048798,32.88537488264594,0.0,0.0,0.08845295690017009,220.54172598207714,0.0,0.7098371972327057,0.0,0.8950121182499332,ME,2026-04-23
2026-03-28 04:00:00+00:00,0.03548014440433213,16.452944724335058,1.1883378236377753,101.39436823104693,33.51151017647979,0.0,0.0,0.08672924187725632,216.70448316271452,0.0,0.7192571037807587,0.0,0.9068893917235653,ME,2026-04-23
2026-03-28 05:00:00+00:00,2.458460623428587,13.558739752165978,1.2653414693607252,86.14539457676608,36.75706496002804,0.0,0.0,0.06423531320122199,181.03119669284123,0.0,0.7786716734527539,0.0,0.940894938755411,ME,2026-04-23
2026-03-28 06:00:00+00:00,5.720375985445725,16.047586301412792,1.778544043919149,97.42625227410551,49.28906973970365,0.0,0.0,0.05950272892662219,197.36656166939167,0.0,1.0226628252535106,0.0,1.289444431841383,ME,2026-04-23
2026-03-28 07:00:00+00:00,5.162036385802035,15.765395598464284,1.621536430300399,104.41163233996318,40.571752479729106,0.0,0.0,0.05389881371032026,172.35716516238142,0.0,0.8700927186977752,0.0,1.1864900709515116,ME,2026-04-23
